"","LON","LAT","set"
"669",120.7625,22.50417,"狥场"
"670",120.7708,22.50417,"狥场"
"671",120.7792,22.50417,"狥场"
"672",120.7875,22.50417,"狥场"
"673",120.7958,22.50417,"狥场"
"674",120.8042,22.50417,"狥场"
"675",120.8125,22.50417,"狥场"
"676",120.8208,22.50417,"狥场"
"677",120.8292,22.50417,"狥场"
"678",120.8375,22.50417,"狥场"
"679",120.8458,22.50417,"狥场"
"680",120.8542,22.50417,"狥场"
"681",120.8625,22.50417,"狥场"
"682",120.8708,22.50417,"狥场"
"683",120.8792,22.50417,"狥场"
"684",120.8875,22.50417,"狥场"
"685",120.8958,22.50417,"狥场"
"686",120.9042,22.50417,"狥场"
"687",120.9125,22.50417,"狥场"
"688",120.9208,22.50417,"狥场"
"689",120.9292,22.50417,"狥场"
"690",120.9375,22.50417,"狥场"
"691",120.9458,22.50417,"狥场"
"692",120.9542,22.50417,"狥场"
"693",120.9625,22.50417,"狥场"
"694",120.7542,22.5125,"狥场"
"695",120.7625,22.5125,"狥场"
"696",120.7708,22.5125,"狥场"
"697",120.7792,22.5125,"狥场"
"698",120.7875,22.5125,"狥场"
"699",120.7958,22.5125,"狥场"
"700",120.8042,22.5125,"狥场"
"701",120.8125,22.5125,"狥场"
"702",120.8208,22.5125,"狥场"
"703",120.8292,22.5125,"狥场"
"704",120.8375,22.5125,"狥场"
"705",120.8458,22.5125,"狥场"
"706",120.8542,22.5125,"狥场"
"707",120.8625,22.5125,"狥场"
"708",120.8708,22.5125,"狥场"
"709",120.8792,22.5125,"狥场"
"710",120.8875,22.5125,"狥场"
"711",120.8958,22.5125,"狥场"
"712",120.9042,22.5125,"狥场"
"713",120.9125,22.5125,"狥场"
"714",120.9208,22.5125,"狥场"
"715",120.9292,22.5125,"狥场"
"716",120.9375,22.5125,"狥场"
"717",120.9458,22.5125,"狥场"
"718",120.9542,22.5125,"狥场"
"719",120.9625,22.5125,"狥场"
"720",120.7542,22.52083,"狥场"
"721",120.7625,22.52083,"狥场"
"722",120.7708,22.52083,"狥场"
"723",120.7792,22.52083,"狥场"
"724",120.7875,22.52083,"狥场"
"725",120.7958,22.52083,"狥场"
"726",120.8042,22.52083,"狥场"
"727",120.8125,22.52083,"狥场"
"728",120.8208,22.52083,"狥场"
"729",120.8292,22.52083,"狥场"
"730",120.8375,22.52083,"狥场"
"731",120.8458,22.52083,"狥场"
"732",120.8542,22.52083,"狥场"
"733",120.8625,22.52083,"狥场"
